LOCATION_CODE,LOCATION_NAME,PRIMARY_ADDRESS_LINE_1,X_COORDINATE,Y_COORDINATE,COMMUNITY_DISTRICT,COUNCIL_DISTRICT,CENSUS_TRACT,BOROUGH_BLOCK_LOT,NTA,NTA_NAME,PRINCIPAL_NAME,GEOGRAPHICAL_DISTRICT_CODE,ADMIN_DISTRICT_LOCATION_CODE,ADMINISTRATIVE_DISTRICT_NAME,Location 1
M034,P.S. 034 Franklin D. Roosevelt,730 EAST  12 STREET,991163,203782,103,2,2800,1003810038,MN28,Lower East Side                                                            ,ANGELIKI LOUKATOS,1,M801,COMMUNITY SCHOOL DISTRICT 01,"730 EAST 12 STREET
MANHATTAN, NY 10009
(40.726008, -73.975058)"
M140,P.S. 140 Nathan Straus,123 RIDGE STREET,988749,201282,103,1,2201,1003440001,MN28,Lower East Side                                                            ,MELISSA RODRIGUEZ,1,M801,COMMUNITY SCHOOL DISTRICT 01,"123 RIDGE STREET
MANHATTAN, NY 10002
(40.719148, -73.983769)"
M184,P.S. 184m Shuang Wen,327 CHERRY STREET,988287,198359,103,1,201,1002450007,MN28,Lower East Side                                                            ,Iris Chiu,1,M801,COMMUNITY SCHOOL DISTRICT 01,"327 CHERRY STREET
MANHATTAN, NY 10002
(40.711125, -73.985438)"
M188,P.S. 188 The Island School,442 EAST HOUSTON STREET,990520,201552,103,2,2000,1003560100,MN28,Lower East Side                                                            ,Suany Ramos,1,M801,COMMUNITY SCHOOL DISTRICT 01,"442 EAST HOUSTON STREET
NEW YORK, NY 10002
(40.719888, -73.97738)"
M301,"Technology, Arts, and Sciences Studio",185 1 AVENUE,988547,205239,103,2,4000,1004530034,MN22,East Village                                                               ,GEORGE MORGAN,1,M801,COMMUNITY SCHOOL DISTRICT 01,"185 1 AVENUE
MANHATTAN, NY 10003
(40.730009, -73.984496)"
M332,University Neighborhood Middle School,220 HENRY STREET,988117,199174,103,1,201,1002690041,MN28,Lower East Side                                                            ,LAURA PEYNADO CASTRO,1,M801,COMMUNITY SCHOOL DISTRICT 01,"220 HENRY STREET
MANHATTAN, NY 10002
(40.713362, -73.986051)"
M378,School for Global Leaders,145 STANTON STREET,988120,201607,103,1,3001,1003540080,MN27,Chinatown                                                                  ,Keri Ricks,1,M801,COMMUNITY SCHOOL DISTRICT 01,"145 STANTON STREET
MANHATTAN, NY 10002
(40.72004, -73.986038)"
M450,East Side Community School,420 EAST 12 STREET,989108,204927,103,2,3400,1004390017,MN22,East Village                                                               ,MARK FEDERMAN,1,HS12,NULL,"420 EAST 12 STREET
MANHATTAN, NY 10009
(40.729152, -73.982472)"
M539,"New Explorations into Science, Technology and Math",111 COLUMBIA STREET,989910,201380,103,2,2201,1003350001,MN28,Lower East Side                                                            ,MARK BERKOWITZ,1,HS04,NULL,"111 COLUMBIA STREET
MANHATTAN, NY 10002
(40.719416, -73.979581)"
M839,Tompkins Square Middle School,600 EAST  6 STREET,989351,202733,103,2,2601,1003870001,MN28,Lower East Side                                                            ,SONHANDO ESTWICK,1,M801,COMMUNITY SCHOOL DISTRICT 01,"600 EAST 6 STREET
MANHATTAN, NY 10009
(40.72313, -73.981597)"
M104,J.H.S. 104 Simon Baruch,330 EAST  21 STREET,989506,207378,106,2,6400,1009260001,MN21,Gramercy                                                                   ,Rocco Macri,2,M802,COMMUNITY SCHOOL DISTRICT 02,"330 EAST 21 STREET
MANHATTAN, NY 10010
(40.735879, -73.981034)"
M114,East Side Middle School,331 EAST 91ST STREET,998823,223621,108,5,15400,1015540032,MN32,Yorkville                                                                  ,DAVID GETZ,2,M802,COMMUNITY SCHOOL DISTRICT 02,"331 EAST 91ST STREET
MANHATTAN, NY 10128
(40.780452, -73.947379)"
M126,P.S. 126 Jacob August Riis,80 CATHERINE STREET,984965,198186,103,1,2500,1001110160,MN27,Chinatown                                                                  ,Carlos Romero,2,M802,COMMUNITY SCHOOL DISTRICT 02,"80 CATHERINE STREET
MANHATTAN, NY 10038
(40.710651, -73.99742)"
M131,M.S. 131,100 HESTER STREET,986022,200219,103,1,1600,1003010003,MN27,Chinatown                                                                  ,PHYLLIS TAM,2,M802,COMMUNITY SCHOOL DISTRICT 02,"100 HESTER STREET
MANHATTAN, NY 10002
(40.716231, -73.993607)"
M167,J.H.S. 167 Robert F. Wagner,220 EAST  76 STREET,995931,220373,108,4,13400,1014300005,MN31,Lenox Hill-Roosevelt Island                                                ,Jennifer Rehn,2,M802,COMMUNITY SCHOOL DISTRICT 02,"220 EAST 76 STREET
MANHATTAN, NY 10021
(40.771541, -73.957827)"
M177,Yorkville East Middle School,1458 YORK AVENUE,997893,219891,108,5,13200,1014890001,MN31,Lenox Hill-Roosevelt Island                                                ,Christina Riggio,2,M802,COMMUNITY SCHOOL DISTRICT 02,"1458 YORK AVENUE
MANHATTAN, NY 10075
(40.770215, -73.950745)"
M217,P.S./I.S. 217 Roosevelt Island,645 MAIN STREET,996320,213836,108,5,23801,1013730001,MN31,Lenox Hill-Roosevelt Island                                                ,MANDANA BECKMAN,2,M802,COMMUNITY SCHOOL DISTRICT 02,"645 MAIN STREET
MANHATTAN, NY 10044
(40.753598, -73.956435)"
M225,Ella Baker School,317 EAST  67 STREET,995392,218222,108,5,11800,1014420001,MN31,Lenox Hill-Roosevelt Island                                                ,LAURA GARCIA,2,M802,COMMUNITY SCHOOL DISTRICT 02,"317 EAST 67 STREET
MANHATTAN, NY 10065
(40.765638, -73.959777)"
M255,M.S. 255 Salk School of Science,319 EAST 19 STREET,989367,207177,106,2,6400,1009250012,MN21,Gramercy                                                                   ,Rhonda Perry,2,M802,COMMUNITY SCHOOL DISTRICT 02,"319 EAST 19 STREET
MANHATTAN, NY 10003
(40.735328, -73.981536)"
M260,M.S. 260 Clinton School Writers & Artists,10 East 15th Street,986370,207476,105,2,5200,1008420034,MN13,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,Jonathan Levin,2,M802,COMMUNITY SCHOOL DISTRICT 02,"10 East 15th Street
Manhattan, NY 10003
(40.736526, -73.992727)"
M276,Battery Park City School,55 BATTERY PLACE,979410,196632,101,1,31704,1000160040,MN25,Battery Park City-Lower Manhattan                                          ,Theresa Ruyter,2,M802,COMMUNITY SCHOOL DISTRICT 02,"55 BATTERY PLACE
MANHATTAN, NY 10280
(40.706384, -74.017456)"
M289,I.S. 289,201 WARREN STREET,980378,200503,101,1,31703,1000160221,MN25,Battery Park City-Lower Manhattan                                          ,Zeynep Ozkan,2,M802,COMMUNITY SCHOOL DISTRICT 02,"201 WARREN STREET
MANHATTAN, NY 10282
(40.71701, -74.013967)"
M297,M.S. 297,10 East 15th Street,986370,207476,105,2,5200,1008420034,MN13,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,JACQUELINE GETZ,2,M802,COMMUNITY SCHOOL DISTRICT 02,"10 East 15th Street
Manhattan, NY 10003
(40.736526, -73.992727)"
M312,New York City Lab Middle School for Collaborative,333 WEST  17 STREET,983634,209794,104,3,8300,1007410010,MN13,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,MEGAN ADAMS,2,M802,COMMUNITY SCHOOL DISTRICT 02,"333 WEST 17 STREET
MANHATTAN, NY 10011
(40.742512, -74.002222)"
M347,The 47 American Sign Language & English Lower Scho,223 EAST 23 STREET,989424,208287,106,2,6400,1009040024,MN21,Gramercy                                                                   ,DAVID BOWELL,2,M802,COMMUNITY SCHOOL DISTRICT 02,"223 EAST 23 STREET
MANHATTAN, NY 10010
(40.738374, -73.981329)"
M397,Spruce Street School,12 SPRUCE STREET,982855,198074,101,1,1501,1001000001,MN25,Battery Park City-Lower Manhattan                                          ,NANCY HARRIS,2,M802,COMMUNITY SCHOOL DISTRICT 02,"12 SPRUCE STREET
MANHATTAN, NY 10038
(40.711321, -74.005473)"
M407,Institute for Collaborative Education,345 EAST  15TH STREET,989075,206207,106,2,4800,1009220008,MN21,Gramercy                                                                   ,Peter Karp,2,HS12,NULL,"345 EAST 15TH STREET
MANHATTAN, NY 10003
(40.732665, -73.98259)"
M408,Professional Performing Arts High School,328 WEST  48 STREET,987390,216649,104,3,12700,1010380014,MN15,Clinton                                                                    ,KEITH RYAN,2,HS04,NULL,"328 WEST 48 STREET
MANHATTAN, NY 10036
(40.761327, -73.988665)"
M413,School of the Future High School,127 EAST  22 STREET,988317,208559,105,2,6800,1008780016,MN21,Gramercy                                                                   ,STACY GOLDSTEIN,2,HS12,NULL,"127 EAST 22 STREET
MANHATTAN, NY 10010
(40.739121, -73.985323)"
M422,Quest to Learn,351 WEST  18 STREET,983546,210120,104,3,8900,1007420007,MN13,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,Nicholas Jurman,2,HS07,NULL,"351 WEST 18 STREET
MANHATTAN, NY 10011
(40.743407, -74.00254)"
M442,"Ballet Tech, NYC Public School for Dance",890 BROADWAY,987165,208340,105,2,5200,1008487502,MN13,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,ROY ONEILL,2,M802,COMMUNITY SCHOOL DISTRICT 02,"890 BROADWAY
MANHATTAN, NY 10003
(40.738521, -73.989481)"
M655,Life Sciences Secondary School,320 EAST  96 STREET,999223,224654,108,5,15601,1015580034,MN32,Yorkville                                                                  ,Kimberly Swanson,2,HS04,NULL,"320 EAST 96 STREET
MANHATTAN, NY 10128
(40.783286, -73.945933)"
M896,Lower Manhattan Community Middle School,26 BROADWAY,980562,196375,101,1,900,0,MN25,Battery Park City-Lower Manhattan                                          ,KELLY MCGUIRE,2,M802,COMMUNITY SCHOOL DISTRICT 02,"26 BROADWAY
MANHATTAN, NY 10004
(40.705688, -74.013303)"
M933,City Knoll Middle School,425 WEST 33RD STREET,984904,213648,104,3,10300,0,MN13,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,Kaye Kerr,2,M802,COMMUNITY SCHOOL DISTRICT 02,"425 WEST 33RD STREET
MANHATTAN, NY 10001
(40.753099, -73.997641)"
M054,J.H.S. 054 Booker T. Washington,103 WEST 107 STREET,994419,230996,107,7,19300,1018620011,MN09,Morningside Heights                                                        ,ELANA ELSTER,3,M803,COMMUNITY SCHOOL DISTRICT 03,"103 WEST 107 STREET
MANHATTAN, NY 10025
(40.8007, -73.96327)"
M076,P.S. 076 A. Philip Randolph,220 WEST 121 STREET,997690,233123,110,9,22000,1019260017,MN11,Central Harlem South                                                       ,CHARLES DEBERRY,3,M803,COMMUNITY SCHOOL DISTRICT 03,"220 WEST 121 STREET
MANHATTAN, NY 10027
(40.806534, -73.951451)"
M149,P.S. 149 Sojourner Truth,41 WEST 117 STREET,998622,231708,110,9,19000,1016010001,MN11,Central Harlem South                                                       ,CLAUDIA AGUIRRE,3,M803,COMMUNITY SCHOOL DISTRICT 03,"41 WEST 117 STREET
MANHATTAN, NY 10026
(40.802649, -73.948088)"
M165,P.S. 165 Robert E. Simon,234 WEST 109 STREET,993677,231707,107,7,19500,1018800013,MN09,Morningside Heights                                                        ,ARACELIS CASTELLANO-FOLK,3,M803,COMMUNITY SCHOOL DISTRICT 03,"234 WEST 109 STREET
MANHATTAN, NY 10025
(40.802653, -73.965949)"
M180,P.S. 180 Hugo Newman,370 WEST 120TH STREET,996469,233500,110,9,25700,1019460001,MN11,Central Harlem South                                                       ,Jeneca Parker,3,M803,COMMUNITY SCHOOL DISTRICT 03,"370 WEST 120TH STREET
MANHATTAN, NY 10027
(40.80757, -73.955861)"
M191,The Riverside School for Makers and Artists,300 WEST 61ST STREET,986901,220799,107,6,15100,1011717510,MN14,Lincoln Square                                                             ,Lauren Keville,3,M803,COMMUNITY SCHOOL DISTRICT 03,"300 WEST 61ST STREET
NEW YORK, NY 10023
(40.7722, -73.990902)"
M243,M.S. 243 Center School,100 WEST  84 STREET,991379,225360,107,6,16900,1012140029,MN12,Upper West Side                                                            ,ELAINE SCHWARTZ,3,M803,COMMUNITY SCHOOL DISTRICT 03,"100 WEST 84 STREET
MANHATTAN, NY 10024
(40.785234, -73.974256)"
M245,M.S. M245 The Computer School,100 WEST  77 STREET,990453,223648,107,6,16100,1011480014,MN12,Upper West Side                                                            ,HENRY ZYMECK,3,M803,COMMUNITY SCHOOL DISTRICT 03,"100 WEST 77 STREET
MANHATTAN, NY 10024
(40.780536, -73.977602)"
M247,M.S. M247 Dual Language Middle School,100 WEST  77 STREET,990453,223648,107,6,16100,1011480014,MN12,Upper West Side                                                            ,Kristina Jelinek,3,M803,COMMUNITY SCHOOL DISTRICT 03,"100 WEST 77 STREET
MANHATTAN, NY 10024
(40.780536, -73.977602)"
M250,M.S. 250 West Side Collaborative Middle School,735 WEST END AVENUE,991450,228958,107,6,18300,1012530065,MN12,Upper West Side                                                            ,Novella Bailey,3,M803,COMMUNITY SCHOOL DISTRICT 03,"735 WEST END AVENUE
MANHATTAN, NY 10025
(40.795109, -73.973996)"
M256,Lafayette Academy,154 WEST  93 STREET,992277,227605,107,6,17700,1012230005,MN12,Upper West Side                                                            ,Brian Zager,3,M803,COMMUNITY SCHOOL DISTRICT 03,"154 WEST 93 STREET
MANHATTAN, NY 10025
(40.791395, -73.971011)"
M258,Community Action School - MS 258,154 WEST  93 STREET,992277,227605,107,6,17700,1012230005,MN12,Upper West Side                                                            ,Andrew Sullivan,3,M803,COMMUNITY SCHOOL DISTRICT 03,"154 WEST 93 STREET
MANHATTAN, NY 10025
(40.791395, -73.971011)"
M291,West End Secondary School,227-243 WEST 61ST STREET,987480,220759,107,6,15100,1011540108,MN14,Lincoln Square                                                             ,JESSICA JENKINS,3,M803,COMMUNITY SCHOOL DISTRICT 03,"227-243 WEST 61ST STREET
MANHATTAN, NY 10023
(40.772608, -73.988338)"
M333,P.S. 333 Manhattan School for Children,154 WEST  93 STREET,992277,227605,107,6,17700,1012230005,MN12,Upper West Side                                                            ,Claire Lowenstein,3,M803,COMMUNITY SCHOOL DISTRICT 03,"154 WEST 93 STREET
MANHATTAN, NY 10025
(40.791395, -73.971011)"
M334,The Anderson School,100 WEST  77 STREET,990453,223648,107,6,16100,1011480014,MN12,Upper West Side                                                            ,JODI HYDE,3,M803,COMMUNITY SCHOOL DISTRICT 03,"100 WEST 77 STREET
MANHATTAN, NY 10024
(40.780536, -73.977602)"
M415,Wadleigh Secondary School for the Performing & Vis,215 WEST 114 STREET,996943,231693,110,9,21800,1018300019,MN11,Central Harlem South                                                       ,Daisy Fontanez,3,M803,COMMUNITY SCHOOL DISTRICT 03,"215 WEST 114 STREET
MANHATTAN, NY 10026
(40.80261, -73.954152)"
M421,West Prep Academy,150 WEST 105 STREET,993771,230412,107,7,18900,1018590001,MN12,Upper West Side                                                            ,Carland Washington,3,M803,COMMUNITY SCHOOL DISTRICT 03,"150 WEST 105 STREET
MANHATTAN, NY 10025
(40.799098, -73.965611)"
M859,Special Music School,129 WEST  67 STREET,988965,221724,107,6,15300,1011390008,MN14,Lincoln Square                                                             ,KATHERINE BANUCCI-SMITH,3,M803,COMMUNITY SCHOOL DISTRICT 03,"129 WEST 67 STREET
MANHATTAN, NY 10023
(40.775256, -73.982976)"
M860,Frederick Douglass Academy II Secondary School,215 WEST 114 STREET,996943,231693,110,9,21800,1018300019,MN11,Central Harlem South                                                       ,OSEI OWUSU AFRIYIE,3,HS07,NULL,"215 WEST 114 STREET
MANHATTAN, NY 10026
(40.80261, -73.954152)"
M862,Mott Hall II,234 WEST 109 STREET,993677,231707,107,7,19500,1018800013,MN09,Morningside Heights                                                        ,Marlon Lowe,3,M803,COMMUNITY SCHOOL DISTRICT 03,"234 WEST 109 STREET
MANHATTAN, NY 10025
(40.802653, -73.965949)"
M007,P.S. 007 Samuel Stern,160 EAST 120 STREET,1001035,230969,111,8,19600,1017680021,MN34,East Harlem North                                                          ,David Graeber,4,M804,COMMUNITY SCHOOL DISTRICT 04,"160 EAST 120 STREET
MANHATTAN, NY 10035
(40.800616, -73.939374)"
M012,Tag Young Scholars,240 EAST 109 STREET,1000231,228032,111,8,17000,1016560100,MN33,East Harlem South                                                          ,JANETTE CESAR,4,M804,COMMUNITY SCHOOL DISTRICT 04,"240 EAST 109 STREET
MANHATTAN, NY 10029
(40.792556, -73.942285)"
M050,P.S. 050 Vito Marcantonio,433 EAST 100 STREET,1000611,225483,111,8,16200,1016940001,MN33,East Harlem South                                                          ,Ellen Johnson,4,M804,COMMUNITY SCHOOL DISTRICT 04,"433 EAST 100 STREET
MANHATTAN, NY 10029
(40.785559, -73.940919)"
M057,James Weldon Johnson,176 EAST 115 STREET,1000420,229726,111,8,18200,1016400139,MN34,East Harlem North                                                          ,NANCY JACQUELINE DIAZ,4,M804,COMMUNITY SCHOOL DISTRICT 04,"176 EAST 115 STREET
MANHATTAN, NY 10029
(40.797205, -73.941598)"
M072,The Lexington Academy,131 EAST 104 STREET,998801,227626,111,8,16600,1016320011,MN33,East Harlem South                                                          ,Antonio Hernandez,4,M804,COMMUNITY SCHOOL DISTRICT 04,"131 EAST 104 STREET
MANHATTAN, NY 10029
(40.791444, -73.94745)"
M096,P.S. 096 Joseph Lanzetta,216 EAST 120 STREET,1001643,230632,111,8,19400,1017840012,MN34,East Harlem North                                                          ,David Pretto,4,M804,COMMUNITY SCHOOL DISTRICT 04,"216 EAST 120 STREET
MANHATTAN, NY 10035
(40.79969, -73.937179)"
M108,P.S. 108 Assemblyman Angelo Del Toro Educational C,1615 MADISON AVENUE,998688,228933,111,8,17401,1016140021,MN33,East Harlem South                                                          ,William Gladstone,4,M804,COMMUNITY SCHOOL DISTRICT 04,"1615 MADISON AVENUE
MANHATTAN, NY 10029
(40.795032, -73.947855)"
M171,P.S. 171 Patrick Henry,19 EAST 103 STREET,997700,227938,111,8,16800,1016090007,MN33,East Harlem South                                                          ,DIMITRES PANTELIDIS,4,M804,COMMUNITY SCHOOL DISTRICT 04,"19 EAST 103 STREET
MANHATTAN, NY 10029
(40.792302, -73.951425)"
M206,P.S. 206 Jose Celso Barbosa,508 EAST 120 STREET,1003485,229613,111,8,19200,1018160001,MN34,East Harlem North                                                          ,CAMILLE FORBES,4,M804,COMMUNITY SCHOOL DISTRICT 04,"508 EAST 120 STREET
MANHATTAN, NY 10035
(40.796889, -73.930528)"
M224,M.S. 224 Manhattan East School for Arts & Academic,410 EAST 100 STREET,1000269,225318,111,8,16200,1016930001,MN33,East Harlem South                                                          ,LUIS GENAO,4,M804,COMMUNITY SCHOOL DISTRICT 04,"410 EAST 100 STREET
MANHATTAN, NY 10029
(40.785107, -73.942154)"
M310,THE JUDITH S. KAYE HIGH SCHOOL,321 EAST  96 STREET,999302,224955,111,8,15602,1016680001,MN33,East Harlem South                                                          ,Andrew Brown,4,DA79,COMMUNITY SCHOOL DISTRICT 04,"321 EAST 96 STREET
MANHATTAN, NY 10128
(40.784112, -73.945647)"
M372,Esperanza Preparatory Academy,240 EAST 109 STREET,1000231,228032,111,8,17000,1016560100,MN33,East Harlem South                                                          ,Luisa Morales,4,M804,COMMUNITY SCHOOL DISTRICT 04,"240 EAST 109 STREET
MANHATTAN, NY 10029
(40.792556, -73.942285)"
M377,Renaissance School of the Arts,319 EAST 117 STREET,1001999,229837,111,8,18800,1016890005,MN34,East Harlem North                                                          ,Brian Bradley,4,M804,COMMUNITY SCHOOL DISTRICT 04,"319 EAST 117 STREET
MANHATTAN, NY 10035
(40.797507, -73.935895)"
M406,Global Technology Preparatory,160 EAST 120 STREET,1001035,230969,111,8,19600,1017680021,MN34,East Harlem North                                                          ,ROBERT PERALES,4,M804,COMMUNITY SCHOOL DISTRICT 04,"160 EAST 120 STREET
MANHATTAN, NY 10035
(40.800616, -73.939374)"
M610,Young Women's Leadership School,105 EAST 106TH STREET,998878,228168,111,8,17200,1016340003,MN33,East Harlem South                                                          ,Andrew Higginbotham,4,HS07,NULL,"105 EAST 106TH STREET
NEW YORK, NY 10029
(40.792932, -73.947171)"
M825,Isaac Newton Middle School for Math & Science,260 PLEASANT AVENUE,1002838,228627,111,8,17800,1017130001,MN34,East Harlem North                                                          ,Florin Purice,4,M804,COMMUNITY SCHOOL DISTRICT 04,"260 PLEASANT AVENUE
MANHATTAN, NY 10029
(40.794184, -73.932868)"
M964,Central Park East II,19 EAST 103 STREET,997700,227938,111,8,16800,1016090007,MN33,East Harlem South                                                          ,NAOMI SMITH,4,M804,COMMUNITY SCHOOL DISTRICT 04,"19 EAST 103 STREET
MANHATTAN, NY 10029
(40.792302, -73.951425)"
M046,P.S. 046 Arthur Tappan,2987 FREDERICK DOUGLASS BOULEVARD,1001883,242218,110,9,24302,1021060050,MN03,Central Harlem North-Polo Grounds                                          ,Kerry ann Hazell,5,M805,COMMUNITY SCHOOL DISTRICT 05,"2987 FREDERICK DOUGLASS BOULEVARD
MANHATTAN, NY 10039
(40.8304, -73.9363)"
M123,P.S. 123 Mahalia Jackson,301 WEST 140 STREET,999597,238109,110,9,22102,1020420035,MN03,Central Harlem North-Polo Grounds                                          ,Melitina Hernandez,5,M805,COMMUNITY SCHOOL DISTRICT 05,"301 WEST 140 STREET
MANHATTAN, NY 10030
(40.820216, -73.944551)"
M129,P.S. 129 John H. Finley,425 WEST 130 STREET,997531,236176,109,9,21703,1019570010,MN06,Manhattanville                                                             ,ODELPHIA PIERRE,5,M805,COMMUNITY SCHOOL DISTRICT 05,"425 WEST 130 STREET
MANHATTAN, NY 10027
(40.814914, -73.95202)"
M148,Eagle Academy for Young Men of Harlem,6 EDGECOMBE AVENUE,998878,237020,110,9,22102,1019600001,MN03,Central Harlem North-Polo Grounds                                          ,Mahaliel H. Bethea II,5,M805,COMMUNITY SCHOOL DISTRICT 05,"6 EDGECOMBE AVENUE
MANHATTAN, NY 10030
(40.817228, -73.947151)"
M161,P.S. 161 Pedro Albizu Campos,499 WEST 133 STREET,997404,237198,109,9,21303,1019710001,MN06,Manhattanville                                                             ,Pamela Price Haynes,5,M805,COMMUNITY SCHOOL DISTRICT 05,"499 WEST 133 STREET
MANHATTAN, NY 10027
(40.817719, -73.952476)"
M286,Urban Assembly Academy for Future Leaders,509 WEST 129 STREET,996562,236479,109,7,21900,1019840033,MN06,Manhattanville                                                             ,NULL,5,M805,COMMUNITY SCHOOL DISTRICT 05,"509 WEST 129 STREET
MANHATTAN, NY 10027
(40.815747, -73.95552)"
M302,KAPPA IV,6 EDGECOMBE AVENUE,998878,237020,110,9,22102,1019600001,MN03,Central Harlem North-Polo Grounds                                          ,Juan Vives,5,M805,COMMUNITY SCHOOL DISTRICT 05,"6 EDGECOMBE AVENUE
MANHATTAN, NY 10030
(40.817228, -73.947151)"
M362,Columbia Secondary School,425 WEST 123 STREET,996507,234674,109,7,20901,1019640012,MN09,Morningside Heights                                                        ,Miriam Nightengale,5,M805,COMMUNITY SCHOOL DISTRICT 05,"425 WEST 123 STREET
MANHATTAN, NY 10027
(40.810793, -73.955722)"
M499,Frederick Douglass Academy,2581 7TH AVENUE,1002033,239485,110,9,23600,1020160100,MN03,Central Harlem North-Polo Grounds                                          ,Ayisha Fullerton,5,M805,COMMUNITY SCHOOL DISTRICT 05,"2581 7TH AVENUE
MANHATTAN, NY 10039
(40.823988, -73.935746)"
M514,New Design Middle School,625 WEST 133 STREET,996203,237953,109,7,22302,1020010005,MN06,Manhattanville                                                             ,JEANINE BENITEZ,5,M805,COMMUNITY SCHOOL DISTRICT 05,"625 WEST 133 STREET
MANHATTAN, NY 10027
(40.819793, -73.956814)"
M670,Thurgood Marshall Academy for Learning and Social,200-214 WEST 135TH STREET,999668,236295,110,9,22800,1019400035,MN03,Central Harlem North-Polo Grounds                                          ,Sean Davenport,5,M805,COMMUNITY SCHOOL DISTRICT 05,"200-214 WEST 135TH STREET
MANHATTAN, NY 10030
(40.815237, -73.944299)"
M018,P.S. 018 Park Terrace,4124 9 AVENUE,1008662,256785,112,10,29900,1022150824,MN01,Marble Hill-Inwood                                                         ,CONNIE MEJIA,6,M806,COMMUNITY SCHOOL DISTRICT 06,"4124 9 AVENUE
MANHATTAN, NY 10034
(40.871456, -73.911732)"
M052,J.H.S. 052 Inwood,650 ACADEMY STREET,1004866,254632,112,10,29100,1022330020,MN01,Marble Hill-Inwood                                                         ,Lupe Leon,6,M806,COMMUNITY SCHOOL DISTRICT 06,"650 ACADEMY STREET
MANHATTAN, NY 10034
(40.865556, -73.925464)"
M143,J.H.S. 143 Eleanor Roosevelt,511 WEST 182ND STREET,1003342,248712,112,10,26900,1021550035,MN35,Washington Heights North                                                   ,Lakisha Mcdaniel Luke,6,M806,COMMUNITY SCHOOL DISTRICT 06,"511 WEST 182ND STREET
MANHATTAN, NY 10033
(40.849311, -73.930991)"
M187,P.S./I.S. 187 Hudson Cliffs,349 CABRINI BOULEVARD,1001722,251235,112,10,27300,1021790365,MN35,Washington Heights North                                                   ,CYNTHIA CHORY,6,M806,COMMUNITY SCHOOL DISTRICT 06,"349 CABRINI BOULEVARD
MANHATTAN, NY 10040
(40.856239, -73.93684)"
M209,Hamilton Grange Middle School,500 WEST 138 STREET,997529,238215,109,7,22301,1019880200,MN06,Manhattanville                                                             ,BENJAMIN LEV,6,M806,COMMUNITY SCHOOL DISTRICT 06,"500 WEST 138 STREET
MANHATTAN, NY 10031
(40.82051, -73.952023)"
M210,P.S./I.S. 210 - Twenty-first Century Academy for C,501-503 WEST 152 STREET,999563,241675,109,7,23700,1020840129,MN04,Hamilton Heights                                                           ,EVELYN LINARES,6,M806,COMMUNITY SCHOOL DISTRICT 06,"501-503 WEST 152 STREET
MANHATTAN, NY 10031
(40.830004, -73.944666)"
M218,I.S. 218 Salome Urena,4600 BROADWAY,1003590,252953,112,10,28500,1021720016,MN35,Washington Heights North                                                   ,JUNE BARNETT,6,M806,COMMUNITY SCHOOL DISTRICT 06,"4600 BROADWAY
MANHATTAN, NY 10040
(40.860951, -73.930082)"
M223,The Mott Hall School,71-111 CONVENT AVE,997732,236800,109,9,21703,1019570001,MN06,Manhattanville                                                             ,JUDITH DE LOS SANTOS,6,M806,COMMUNITY SCHOOL DISTRICT 06,"71-111 CONVENT AVE
MANHATTAN, NY 10027
(40.816626, -73.951292)"
M278,Paula Hedbavny School,421 W 219TH ST,1008494,256864,112,10,29900,1022150831,MN01,Marble Hill-Inwood                                                         ,LILLIAN REYES,6,M806,COMMUNITY SCHOOL DISTRICT 06,"421 W 219TH ST
MANHATTAN, NY 10034
(40.871673, -73.912339)"
M293,City College Academy of the Arts,4600 BROADWAY,1003590,252953,112,10,28500,1021720016,MN35,Washington Heights North                                                   ,BURNEDETTE DRYSDALE,6,HS03,NULL,"4600 BROADWAY
MANHATTAN, NY 10040
(40.860951, -73.930082)"
M311,Amistad Dual Language School,4862 BROADWAY,1005321,254933,112,10,29100,1022340007,MN01,Marble Hill-Inwood                                                         ,ROBIN EDMONDS,6,M806,COMMUNITY SCHOOL DISTRICT 06,"4862 BROADWAY
MANHATTAN, NY 10034
(40.866381, -73.923818)"
M319,M.S. 319 - Maria Teresa,21 JUMEL PLACE,1002010,245005,112,10,24900,1021120058,MN36,Washington Heights South                                                   ,YSIDRO ABREU,6,M806,COMMUNITY SCHOOL DISTRICT 06,"21 JUMEL PLACE
MANHATTAN, NY 10032
(40.839139, -73.935815)"
M322,Middle School 322,4600 BROADWAY,1003590,252953,112,10,28500,1021720016,MN35,Washington Heights North                                                   ,ERICA ZIGELMAN,6,M806,COMMUNITY SCHOOL DISTRICT 06,"4600 BROADWAY
MANHATTAN, NY 10040
(40.860951, -73.930082)"
M324,M.S. 324 - Patria Mirabal,21 JUMEL PLACE,1002010,245005,112,10,24900,1021120058,MN36,Washington Heights South                                                   ,JANET HELLER,6,M806,COMMUNITY SCHOOL DISTRICT 06,"21 JUMEL PLACE
MANHATTAN, NY 10032
(40.839139, -73.935815)"
